ticker,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
COST,2010-11-30,2010-12-08,0.71,0.69,0.02,2.8986,pre-market
COST,2011-02-28,2011-05-25,0.73,0.77,-0.04,-5.1948,pre-market
COST,2011-08-31,2011-10-05,1.08,1.1,-0.02,-1.8182,pre-market
COST,2011-11-30,2012-02-29,0.9,0.88,0.02,2.2727,pre-market
COST,2012-02-29,2012-05-24,0.88,0.87,0.01,1.1494,pre-market
COST,2012-08-31,2012-10-10,1.39,1.31,0.08,6.1069,pre-market
COST,2012-11-30,2012-12-12,0.95,0.93,0.02,2.1505,pre-market
COST,2013-02-28,2013-05-30,1.04,1.03,0.01,0.9709,pre-market
COST,2013-08-31,2013-10-09,1.4,1.46,-0.06,-4.1096,pre-market
COST,2013-11-30,2013-12-11,0.96,1.02,-0.06,-5.8824,pre-market
COST,2014-02-28,2014-03-06,1.07,1.09,-0.02,-1.8349,pre-market
COST,2014-05-31,2014-07-23,0,1.09,-1.09,-100,pre-market
COST,2014-08-31,2014-10-08,1.58,1.52,0.06,3.9474,pre-market
COST,2014-11-30,2014-12-10,1.12,1.09,0.03,2.7523,pre-market
COST,2015-02-28,2015-03-05,1.17,1.15,0.02,1.7391,post-market
COST,2015-05-31,2015-07-24,0,1.67,-1.67,-100,pre-market
COST,2015-08-31,2015-09-30,1.73,1.66,0.07,4.2169,post-market
COST,2015-11-30,2015-12-08,1.09,1.17,-0.08,-6.8376,post-market
COST,2016-02-29,2016-03-02,1.24,1.22,0.02,1.6393,post-market
COST,2016-08-31,2016-09-29,1.77,1.73,0.04,2.3121,post-market
COST,2016-11-30,2016-12-07,1.24,1.19,0.05,4.2017,post-market
COST,2017-02-28,2017-03-02,1.59,1.3,0.29,22.3077,post-market
COST,2017-08-31,2017-10-05,2.08,2.02,0.06,2.9703,post-market
COST,2017-11-30,2017-12-14,1.36,1.35,0.01,0.7407,post-market
COST,2018-02-28,2018-03-07,1.7,1.7,0,0,post-market
COST,2018-05-31,2018-06-01,1.6979,None,0,None,pre-market
COST,2018-08-31,2018-10-04,2.36,2.36,0,0,post-market
COST,2018-11-30,2018-12-13,1.61,1.62,-0.01,-0.6173,post-market
COST,2019-02-28,2019-03-07,2.05,1.81,0.24,13.2597,post-market
COST,2019-05-31,2019-05-31,2.0468,None,0,None,pre-market
COST,2019-08-31,2019-10-03,2.69,2.54,0.15,5.9055,post-market
COST,2019-11-30,2019-12-12,1.9,1.71,0.19,11.1111,post-market
COST,2020-02-29,2020-03-05,1.89,1.89,0,0,post-market
COST,2020-08-31,2020-09-24,3.13,2.81,0.32,11.3879,post-market
COST,2020-11-30,2020-12-10,2.29,2.04,0.25,12.2549,post-market
COST,2021-02-28,2021-03-04,2.75,2.28,0.47,20.614,post-market
COST,2021-05-31,2021-06-03,2.75,None,0,None,pre-market
COST,2021-08-31,2021-09-23,3.76,3.57,0.19,5.3221,pre-market
COST,2021-11-30,2021-12-09,2.98,2.64,0.34,12.8788,pre-market
COST,2022-02-28,2022-03-03,2.92,3.03,-0.11,-3.6304,pre-market
COST,2022-05-31,2022-06-02,3.04,None,0,None,pre-market
COST,2022-08-31,2022-09-22,4.2,4.17,0.03,0.7194,pre-market
COST,2022-11-30,2022-12-08,3.07,3.11,-0.04,-1.2862,pre-market
COST,2023-02-28,2023-03-02,3.3,3.29,0.01,0.304,pre-market
COST,2023-05-31,2023-06-01,2.93,3.43,-0.5,-14.5773,pre-market
COST,2023-08-31,2023-09-26,4.86,4.79,0.07,1.4614,pre-market
COST,2023-11-30,2023-12-14,3.58,3.42,0.16,4.6784,pre-market
