event_id,ticker,freeze_ts,label_surprise,label_ts,hist_prior_beats,hist_mean_surprise,n_present_features,edgar_online
DKS:2021-03-09,DKS,2021-03-09T00:00:00,0.12,2021-03-09T00:00:00,3,0.495,1,False
DKS:2020-11-24,DKS,2020-11-24T00:00:00,0.93,2020-11-24T00:00:00,3,0.2975,1,False
DKS:2020-08-26,DKS,2020-08-26T00:00:00,1.83,2020-08-26T00:00:00,3,-0.1475,1,False
DKS:2020-06-02,DKS,2020-06-02T00:00:00,-0.88,2020-06-02T00:00:00,4,0.0825,1,False
DKS:2020-03-10,DKS,2020-03-10T00:00:00,0.1,2020-03-10T00:00:00,4,0.06,1,False
DKS:2019-11-26,DKS,2019-11-26T00:00:00,0.14,2019-11-26T00:00:00,4,0.06,1,False
DKS:2019-08-22,DKS,2019-08-22T00:00:00,0.05,2019-08-22T00:00:00,4,0.0825,1,False
DKS:2019-05-29,DKS,2019-05-29T00:00:00,0.04,2019-05-29T00:00:00,4,0.11,1,False
DKS:2019-03-12,DKS,2019-03-12T00:00:00,0.01,2019-03-12T00:00:00,4,0.1125,1,False
DKS:2018-11-28,DKS,2018-11-28T00:00:00,0.14,2018-11-28T00:00:00,4,0.0875,1,False
DKS:2018-08-29,DKS,2018-08-29T00:00:00,0.14,2018-08-29T00:00:00,3,0.0425,1,False
DKS:2018-05-30,DKS,2018-05-30T00:00:00,0.15,2018-05-30T00:00:00,2,0.005,1,False
DKS:2018-03-13,DKS,2018-03-13T00:00:00,0.02,2018-03-13T00:00:00,2,0.005,1,False
DKS:2017-11-14,DKS,2017-11-14T00:00:00,0.04,2017-11-14T00:00:00,2,0.01,1,False
DKS:2017-08-15,DKS,2017-08-15T00:00:00,-0.04,2017-08-15T00:00:00,3,0.0525,1,False
DKS:2017-05-16,DKS,2017-05-16T00:00:00,0.0,2017-05-16T00:00:00,4,0.055,1,False
DKS:2017-03-07,DKS,2017-03-07T00:00:00,0.02,2017-03-07T00:00:00,3,0.045,1,False
DKS:2016-11-15,DKS,2016-11-15T00:00:00,0.06,2016-11-15T00:00:00,2,0.0275,1,False
DKS:2016-08-16,DKS,2016-08-16T00:00:00,0.13,2016-08-16T00:00:00,2,0.0,1,False
DKS:2016-05-19,DKS,2016-05-19T00:00:00,0.01,2016-05-19T00:00:00,1,-0.0025,1,False
DKS:2016-03-08,DKS,2016-03-08T00:00:00,-0.02,2016-03-08T00:00:00,2,0.02,1,False
DKS:2015-11-17,DKS,2015-11-17T00:00:00,-0.01,2015-11-17T00:00:00,3,0.025,1,False
DKS:2015-08-18,DKS,2015-08-18T00:00:00,0.02,2015-08-18T00:00:00,3,0.025,1,False
DKS:2015-05-19,DKS,2015-05-19T00:00:00,0.0,2015-05-19T00:00:00,3,0.02,1,False
DKS:2015-03-03,DKS,2015-03-03T00:00:00,0.07,2015-03-03T00:00:00,2,0.0025,1,False
DKS:2014-11-18,DKS,2014-11-18T00:00:00,0.01,2014-11-18T00:00:00,2,0.0025,1,False
DKS:2014-08-19,DKS,2014-08-19T00:00:00,0.02,2014-08-19T00:00:00,1,-0.01,1,False
DKS:2014-05-20,DKS,2014-05-20T00:00:00,-0.02,2014-05-20T00:00:00,1,-0.005,1,False
DKS:2014-03-11,DKS,2014-03-11T00:00:00,0.0,2014-03-11T00:00:00,1,-0.0125,1,False
DKS:2013-11-19,DKS,2013-11-19T00:00:00,0.01,2013-11-19T00:00:00,1,-0.0075,1,False
DKS:2013-08-20,DKS,2013-08-20T00:00:00,-0.03,2013-08-20T00:00:00,2,0.0025,1,False
DKS:2013-05-21,DKS,2013-05-21T00:00:00,0.0,2013-05-21T00:00:00,3,0.02,1,False
DKS:2013-03-11,DKS,2013-03-11T00:00:00,-0.03,2013-03-11T00:00:00,3,-0.0025,1,False
DKS:2012-11-13,DKS,2012-11-13T00:00:00,0.03,2012-11-13T00:00:00,3,0.0025,1,False
DKS:2012-08-14,DKS,2012-08-14T00:00:00,0.01,2012-08-14T00:00:00,3,0.005,1,False
DKS:2012-05-15,DKS,2012-05-15T00:00:00,0.07,2012-05-15T00:00:00,3,-0.01,1,False
DKS:2012-03-06,DKS,2012-03-06T00:00:00,-0.12,2012-03-06T00:00:00,4,0.03,1,False
DKS:2011-11-15,DKS,2011-11-15T00:00:00,0.05,2011-11-15T00:00:00,4,0.03,1,False
DKS:2011-08-16,DKS,2011-08-16T00:00:00,0.02,2011-08-16T00:00:00,4,0.03,1,False
DKS:2011-05-17,DKS,2011-05-17T00:00:00,0.01,2011-05-17T00:00:00,4,0.0475,1,False
DKS:2011-03-08,DKS,2011-03-08T00:00:00,0.04,2011-03-08T00:00:00,4,0.04,1,False
DKS:2010-11-16,DKS,2010-11-16T00:00:00,0.05,2010-11-16T00:00:00,4,0.045,1,False
DKS:2010-08-19,DKS,2010-08-19T00:00:00,0.02,2010-08-19T00:00:00,4,0.0525,1,False
DKS:2010-05-18,DKS,2010-05-18T00:00:00,0.08,2010-05-18T00:00:00,4,0.0425,1,False
DKS:2010-03-09,DKS,2010-03-09T00:00:00,0.01,2010-03-09T00:00:00,4,0.045,1,False
DKS:2009-11-19,DKS,2009-11-19T00:00:00,0.07,2009-11-19T00:00:00,4,0.03,1,False
DKS:2009-08-20,DKS,2009-08-20T00:00:00,0.05,2009-08-20T00:00:00,4,0.025,1,False
DKS:2009-05-19,DKS,2009-05-19T00:00:00,0.04,2009-05-19T00:00:00,3,0.0125,1,False
DKS:2009-03-10,DKS,2009-03-10T00:00:00,0.02,2009-03-10T00:00:00,3,0.0125,1,False
DKS:2008-11-20,DKS,2008-11-20T00:00:00,0.01,2008-11-20T00:00:00,3,0.02,1,False
DKS:2008-08-21,DKS,2008-08-21T00:00:00,0.03,2008-08-21T00:00:00,3,0.0225,1,False
DKS:2008-05-22,DKS,2008-05-22T00:00:00,-0.01,2008-05-22T00:00:00,4,0.0275,1,False
DKS:2008-03-11,DKS,2008-03-11T00:00:00,0.02,2008-03-11T00:00:00,4,0.03,1,False
DKS:2007-11-20,DKS,2007-11-20T00:00:00,0.04,2007-11-20T00:00:00,4,0.0325,1,False
DKS:2007-08-21,DKS,2007-08-21T00:00:00,0.04,2007-08-21T00:00:00,4,0.0275,1,False
DKS:2007-05-23,DKS,2007-05-23T00:00:00,0.01,2007-05-23T00:00:00,4,0.03,1,False
DKS:2007-03-13,DKS,2007-03-13T00:00:00,0.03,2007-03-13T00:00:00,4,0.025,1,False
DKS:2006-11-13,DKS,2006-11-13T00:00:00,0.05,2006-11-13T00:00:00,3,0.0125,1,False
DKS:2006-08-15,DKS,2006-08-15T00:00:00,0.02,2006-08-15T00:00:00,2,0.0075,1,False
DKS:2006-05-16,DKS,2006-05-16T00:00:00,0.02,2006-05-16T00:00:00,2,0.0075,1,False
DKS:2006-03-07,DKS,2006-03-07T00:00:00,0.01,2006-03-07T00:00:00,2,0.01,1,False
DKS:2005-11-15,DKS,2005-11-15T00:00:00,0.0,2005-11-15T00:00:00,3,0.0125,1,False
DKS:2005-08-16,DKS,2005-08-16T00:00:00,0.0,2005-08-16T00:00:00,3,0.0125,1,False
DKS:2005-05-17,DKS,2005-05-17T00:00:00,0.02,2005-05-17T00:00:00,2,0.005,1,False
DKS:2005-03-07,DKS,2005-03-07T00:00:00,0.02,2005-03-07T00:00:00,1,0.0,1,False
DKS:2004-11-18,DKS,2004-11-18T00:00:00,0.01,2004-11-18T00:00:00,1,0.0,1,False
DKS:2004-08-17,DKS,2004-08-17T00:00:00,0.0,2004-08-17T00:00:00,2,0.0025,1,False
DKS:2004-05-18,DKS,2004-05-18T00:00:00,-0.01,2004-05-18T00:00:00,2,0.005,1,False
DKS:2004-03-11,DKS,2004-03-11T00:00:00,0.0,2004-03-11T00:00:00,2,0.005,1,False
DKS:2003-11-18,DKS,2003-11-18T00:00:00,0.01,2003-11-18T00:00:00,2,0.005,1,False
DKS:2003-08-21,DKS,2003-08-21T00:00:00,0.01,2003-08-21T00:00:00,1,0.0033,1,False
DKS:2003-05-22,DKS,2003-05-22T00:00:00,0.0,2003-05-22T00:00:00,1,0.005,1,False
DKS:2003-03-13,DKS,2003-03-13T00:00:00,0.0,2003-03-13T00:00:00,1,0.01,1,False
