date,ticker,prev_close,price_1030,gain_1030,cum_vol_1030,vwap_1030,read,C1,C2,C3,C4,E1,E2,E3,E4,entry_open_1030,close_eod,outcome_pct,n_slice_bars,active_proxy,boundary_leak_zone
2025-08-05,XMTR,30.97,43.1717,0.394,1505400,41.6913,CONT,1,1,1,1,0,0,1,0,43,44.3,0.0302,12,1,0
2025-08-05,YMAB,4.19,8.515,1.0322,12759922,8.5195,EX,0,1,0,0,1,1,1,0,8.51,8.51,0.0,12,0,0
2025-08-06,AIMD,2.33,3.449,0.4803,77030338,3.8123,UNC,0,1,1,0,1,1,1,0,3.435,3.25,-0.0539,12,1,0
2025-08-06,ALAB,135.54,176.825,0.3046,8392521,174.4299,CONT,1,1,1,1,0,0,1,0,176.72,174.46,-0.0128,12,1,0
2025-08-06,GO,13.02,16.97,0.3034,4987299,16.7713,UNC,1,1,1,1,0,1,1,0,16.98,18.58,0.0942,12,1,0
2025-08-06,LPSN,13.32,18.32,0.3754,2572778,18.9529,EX,0,1,0,0,1,1,1,0,18.45,17.55,-0.0488,12,1,0
2025-08-06,MYGN,3.87,5.08,0.3127,4803650,5.2425,EX,0,1,0,0,1,1,1,0,5.085,5.69,0.119,12,1,0
2025-08-06,RMSG,1.66,2.9,0.747,20787918,3.0303,UNC,0,1,0,1,1,0,0,0,2.91,2.33,-0.1993,12,1,0
2025-08-06,SGBX,12.37,29.54,1.388,4699399,28.5245,UNC,1,0,0,1,0,1,1,0,29.54,23.46,-0.2058,12,0,0
2025-08-07,AVAH,3.89,5.8975,0.5161,6293905,5.8225,CONT,1,1,1,1,0,0,1,0,5.9,5.815,-0.0144,12,1,0
2025-08-07,BRLT,1.38,2.3,0.6667,35845558,2.3151,UNC,0,1,1,1,1,0,1,0,2.2988,1.9,-0.1735,12,1,0
2025-08-07,DUOL,343.61,448.495,0.3052,2205362,455.0549,UNC,0,1,1,0,1,0,1,0,448.3594,390.84,-0.1283,12,1,0
2025-08-07,IMG,4,10.38,1.595,12877135,11.2536,UNC,0,1,1,0,1,1,1,0,10.36,8.462,-0.1832,12,0,0
2025-08-07,JMIA,4.58,6.16,0.345,9066361,5.9514,CONT,1,1,1,1,0,0,1,0,6.1699,5.84,-0.0535,12,1,0
2025-08-07,MATV,6.28,8.3561,0.3306,506422,8.2359,UNC,1,1,1,1,0,1,1,0,8.33,8.48,0.018,12,1,0
2025-08-07,RUN,9.07,11.9373,0.3161,20688841,11.9111,CONT,1,1,1,1,0,0,1,0,11.94,12,0.005,12,1,0
2025-08-07,SKYT,8.87,11.75,0.3247,1698127,11.5912,CONT,1,1,1,1,0,0,1,0,11.78,12.87,0.0925,12,1,0
2025-08-08,LZ,8.37,11.695,0.3973,3688158,11.3639,CONT,1,1,1,1,0,0,1,0,11.69,10.965,-0.062,12,1,0
